id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
100804298,2021/11/09 11:33 AM MST,11/9/21,2021-11-09 18:33:00 UTC,Arizona,2031829,hoganajjg,2021-11-10 22:50:39 UTC,2021-11-11 00:09:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/100804298,https://inaturalist-open-data.s3.amazonaws.com/photos/168281629/medium.jpeg,,,,1,0,FALSE,,"Tohono Chul Park, Oro Valley, AZ 85704, USA",32.3394402,-110.9815906,172,172,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
100959343,11/12/21 15:43,11/12/21,2021-11-12 15:43:59 UTC,UTC,1498369,jessica821,2021-11-12 22:30:33 UTC,2021-11-13 03:55:42 UTC,research,,https://www.inaturalist.org/observations/100959343,https://static.inaturalist.org/photos/168556897/medium.jpeg,,,Feeding on Justicia candicans,1,0,FALSE,2,"Wickenburg, AZ 85390, USA",33.93285985,-112.6945881,10,10,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
100960565,2021/10/22 10:04 AM UTC,10/22/21,2021-10-22 10:04:00 UTC,UTC,107133,catherinebartlett,2021-11-12 22:49:01 UTC,2021-11-12 23:54:17 UTC,research,,https://www.inaturalist.org/observations/100960565,https://static.inaturalist.org/photos/168557064/medium.jpeg,,,,1,0,FALSE,,"Marana, AZ, USA",32.37582987,-111.1138366,61,61,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101033289,2021/11/12 4:14 PM MST,11/12/21,2021-11-12 23:14:00 UTC,Arizona,2816616,mpoinat,2021-11-13 20:49:18 UTC,2021-11-13 21:01:56 UTC,research,CC-BY,https://www.inaturalist.org/observations/101033289,https://inaturalist-open-data.s3.amazonaws.com/photos/168688696/medium.jpeg,,,,1,0,FALSE,,"2900 N Craycroft Rd, Tucson, AZ 85712, USA",32.2596871,-110.874732,183,183,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101053798,Sat Aug 07 2021 17:24:17 GMT-0600 (MDT),8/7/21,2021-08-07 23:24:17 UTC,Mountain Time (US & Canada),1106562,outnabout---,2021-11-14 00:30:12 UTC,2021-11-14 00:40:31 UTC,research,,https://www.inaturalist.org/observations/101053798,https://static.inaturalist.org/photos/168719350/medium.jpg,,,Guessing ,1,0,FALSE,3,"Coronado National Forest, Benson, AZ, US",32.1206445,-110.4925617,4,4,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101115095,11/12/21 9:06,11/12/21,2021-11-12 16:06:30 UTC,Arizona,2673348,tracy361,2021-11-14 17:19:36 UTC,2021-11-14 17:41:52 UTC,research,,https://www.inaturalist.org/observations/101115095,https://static.inaturalist.org/photos/168823373/medium.jpeg,,,,1,0,FALSE,2,"Phoenix, AZ 85008, USA",33.46011587,-111.9458057,73,73,,,FALSE,gps,gps,Monarch,Danaus plexippus,Monarch,Insecta,48662
101138642,11/14/21 14:01,11/14/21,2021-11-14 21:01:22 UTC,Arizona,5183262,amgrubbs,2021-11-14 21:15:04 UTC,2021-12-03 18:27:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101138642,https://inaturalist-open-data.s3.amazonaws.com/photos/168861848/medium.jpeg,,,Butterfly Weed still in bloom. ,2,0,FALSE,2,"Camp Verde, AZ 86322, USA",34.563357,-111.8563573,102,102,,,FALSE,gps,gps,Monarch,Danaus plexippus,Monarch,Insecta,48662
101140823,2021/11/14 1:35 PM MST,11/14/21,2021-11-14 20:35:00 UTC,Arizona,2624055,kneubaue,2021-11-14 21:38:53 UTC,2021-11-15 02:11:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101140823,https://inaturalist-open-data.s3.amazonaws.com/photos/168865783/medium.jpeg,,,,1,0,FALSE,,"Las Vistas, Avondale, AZ 85392, USA",33.48186046,-112.3031855,15,15,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101249623,2021/11/03 2:46 PM MST,11/3/21,2021-11-03 21:46:00 UTC,Arizona,65660,eric_hough,2021-11-16 07:49:11 UTC,2021-11-17 02:44:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101249623,https://inaturalist-open-data.s3.amazonaws.com/photos/169068860/medium.jpg,,,,3,0,FALSE,,"Hassayampa River Preserve, Wickenburg, Maricopa County, AZ, USA",33.93284722,-112.6947687,15,15,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101290747,2021/11/16 11:42 AM MST,11/16/21,2021-11-16 18:42:00 UTC,Arizona,2031829,hoganajjg,2021-11-16 23:10:51 UTC,2021-11-17 02:14:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101290747,https://inaturalist-open-data.s3.amazonaws.com/photos/169147606/medium.jpg,,,with a Queen,2,0,FALSE,,"Tohono Chul Park, Oro Valley, AZ 85704, USA",32.3394402,-110.9815906,172,172,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101338368,Fri Nov 12 2021 14:48:51 GMT-0800 (PST),11/12/21,2021-11-12 14:48:51 UTC,UTC,3130217,samspade57,2021-11-17 16:30:27 UTC,2021-11-17 17:48:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101338368,https://inaturalist-open-data.s3.amazonaws.com/photos/169224997/medium.jpg,,,,1,0,FALSE,3,"Buckskin Mountain State Park, Parker, AZ, US",34.25648667,-114.1628112,7,7,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101360534,Wed Nov 17 2021 15:53:23 GMT-0700 (MST),11/17/21,2021-11-17 22:53:23 UTC,Mountain Time (US & Canada),4305704,dwhitler,2021-11-17 22:53:26 UTC,2021-11-17 23:49:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101360534,https://inaturalist-open-data.s3.amazonaws.com/photos/169266355/medium.jpg,,,,2,0,FALSE,3,"W Watkins St, Goodyear, AZ, US",33.42430529,-112.4134132,79,79,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101466182,2021/11/17 3:42 PM UTC,11/17/21,2021-11-17 15:42:00 UTC,UTC,1705504,dutchjohn,2021-11-19 15:21:40 UTC,2021-11-19 15:59:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101466182,https://inaturalist-open-data.s3.amazonaws.com/photos/169463964/medium.jpeg,,,,2,0,FALSE,,"Canoa Ranch, AZ, USA",31.79651869,-111.0153925,15,15,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
101501832,2021/11/19 3:26 PM UTC,11/19/21,2021-11-19 15:26:00 UTC,UTC,1515318,saguaro5,2021-11-20 01:26:15 UTC,2021-11-20 06:31:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/101501832,https://inaturalist-open-data.s3.amazonaws.com/photos/169525037/medium.jpeg,,,,2,0,FALSE,,"6202 E Larkspur Dr, Scottsdale, AZ 85254, USA",33.6007075,-111.9466366,83,83,,,FALSE,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
